time,n_positive,n_negative,injected_positive,injected_negative,recombination
3.043465168647e-07,1.006523987119e+06,1.001150547646e+06,1.011061710188e+06,1.011061710188e+06,1.829117057865e+01
6.086930337295e-07,2.007826914156e+06,1.993551296968e+06,1.007218862569e+06,1.007218862569e+06,5.873975334242e+01
9.130395505942e-07,3.009179418972e+06,2.983782269597e+06,1.009995755313e+06,1.009995755313e+06,1.212483091677e+02
1.217386067459e-06,4.002615327992e+06,3.964593322126e+06,1.005482124578e+06,1.005482124578e+06,2.050714263546e+02
1.521732584324e-06,4.993229823481e+06,4.941279531332e+06,1.006314249610e+06,1.006314249610e+06,3.102205096545e+02
1.826079101188e-06,5.976080757660e+06,5.908852154410e+06,1.002131074403e+06,1.002131074403e+06,4.357859681332e+02
2.130425618053e-06,6.957782365971e+06,6.873739128815e+06,1.004440671902e+06,1.004440671902e+06,5.817844181880e+02
2.434772134918e-06,7.938107786158e+06,7.835554184579e+06,1.006392359701e+06,1.006392359701e+06,7.486022604622e+02
2.739118651783e-06,8.914424210042e+06,8.791590359070e+06,1.005640279722e+06,1.005640279722e+06,9.358298234438e+02
3.043465168647e-06,9.887053150855e+06,9.742157127521e+06,1.005213600273e+06,1.005213600273e+06,1.142608811418e+03
3.347811685512e-06,1.085796148500e+07,1.068923562566e+07,1.006805724836e+06,1.006805724836e+06,1.369510544977e+03
3.652158202377e-06,1.181818537166e+07,1.162393864188e+07,9.994466084140e+05,9.994466084140e+05,1.613616650777e+03
3.956504719242e-06,1.278516532572e+07,1.256366817844e+07,1.009647643671e+06,1.009647643671e+06,1.879402300064e+03
4.260851236106e-06,1.374959342801e+07,1.349913568244e+07,1.010533802375e+06,1.010533802375e+06,2.164330648413e+03
4.565197752971e-06,1.470435193520e+07,1.442326666812e+07,1.004298121699e+06,1.004298121699e+06,2.465911709023e+03
4.869544269836e-06,1.565913761262e+07,1.534572848157e+07,1.007812722746e+06,1.007812722746e+06,2.786351929154e+03
5.173890786701e-06,1.660600267000e+07,1.625859098668e+07,1.003352462511e+06,1.003352462511e+06,3.123651502390e+03
5.478237303565e-06,1.754689572082e+07,1.716380555172e+07,1.000853168217e+06,1.000853168217e+06,3.477739906271e+03
5.782583820430e-06,1.848849497610e+07,1.806801607554e+07,1.005070336954e+06,1.005070336954e+06,3.849864089292e+03
6.086930337295e-06,1.943291619034e+07,1.897330754809e+07,1.011432710212e+06,1.011432710212e+06,4.242245556086e+03
6.391276854160e-06,2.037148801135e+07,1.987103751178e+07,1.009114733785e+06,1.009114733785e+06,4.650361381818e+03
6.695623371024e-06,2.130117191913e+07,2.075820564395e+07,1.003768199165e+06,1.003768199165e+06,5.072980820195e+03
6.999969887889e-06,2.222831760352e+07,2.164115239561e+07,1.004810286304e+06,1.004810286304e+06,5.510760712233e+03
7.304316404754e-06,2.315957314706e+07,2.252648116359e+07,1.012545493947e+06,1.012545493947e+06,5.968446773868e+03
7.608662921619e-06,2.407557063226e+07,2.339489790112e+07,1.000842416669e+06,1.000842416669e+06,6.436525910065e+03
7.913009438483e-06,2.499055337017e+07,2.426061895963e+07,1.003456535556e+06,1.003456535556e+06,6.921025267782e+03
8.217355955348e-06,2.589583178776e+07,2.511498368727e+07,9.973430601826e+05,9.973430601826e+05,7.417137092487e+03
8.521702472213e-06,2.680137675096e+07,2.596792834670e+07,1.001251648283e+06,1.001251648283e+06,7.929546195108e+03
8.826048989078e-06,2.772174106068e+07,2.683390741337e+07,1.019798295716e+06,1.019798295716e+06,8.467067859862e+03
9.130395505942e-06,2.862510117562e+07,2.768120415545e+07,1.006411868399e+06,1.006411868399e+06,9.011093755277e+03
9.434742022807e-06,2.951992490306e+07,2.851831673059e+07,1.001548170175e+06,1.001548170175e+06,9.565499018378e+03
9.739088539672e-06,3.042429625349e+07,2.936324795024e+07,1.014862637880e+06,1.014862637880e+06,1.014277567217e+04
1.004343505654e-05,3.132043069837e+07,3.019825222412e+07,1.010328707304e+06,1.010328707304e+06,1.072941545087e+04
1.034778157340e-05,3.220737114734e+07,3.102240545403e+07,1.004845735165e+06,1.004845735165e+06,1.132550626555e+04
1.065212809027e-05,3.309436301125e+07,3.184492257045e+07,1.008659005212e+06,1.008659005212e+06,1.193666888086e+04
1.095647460713e-05,3.397710049623e+07,3.266150197444e+07,1.008152194113e+06,1.008152194113e+06,1.255909166863e+04
1.126082112400e-05,3.484847695086e+07,3.346507757095e+07,1.000513878826e+06,1.000513878826e+06,1.318827651776e+04
1.156516764086e-05,3.571803612006e+07,3.426517076523e+07,1.002463058543e+06,1.002463058543e+06,1.382953980458e+04
1.186951415773e-05,3.657960018607e+07,3.505562366550e+07,9.982058278577e+05,9.982058278577e+05,1.448072806307e+04
1.217386067459e-05,3.744763732295e+07,3.585084106230e+07,1.008491387394e+06,1.008491387394e+06,1.514948180984e+04
1.247820719145e-05,3.830724962902e+07,3.663596252898e+07,1.003830257695e+06,1.003830257695e+06,1.582527247436e+04
1.278255370832e-05,3.915780552292e+07,3.741038984223e+07,9.985438601442e+05,9.985438601442e+05,1.650667920069e+04
1.308690022518e-05,4.001399271729e+07,3.818875364475e+07,1.008022818452e+06,1.008022818452e+06,1.720696522052e+04
1.339124674205e-05,4.085616459943e+07,3.895147376943e+07,9.977722019674e+05,9.977722019674e+05,1.790820127686e+04
1.369559325891e-05,4.169826633956e+07,3.971246651779e+07,1.001534057277e+06,1.001534057277e+06,1.862074545596e+04
1.399993977578e-05,4.253922096650e+07,4.047063908311e+07,1.004224038600e+06,1.004224038600e+06,1.934598538652e+04
1.430428629264e-05,4.337501795791e+07,4.122199476603e+07,1.002893066056e+06,1.002893066056e+06,2.007752469217e+04
1.460863280951e-05,4.420784042450e+07,4.196871642328e+07,1.003765156722e+06,1.003765156722e+06,2.082018992414e+04
1.491297932637e-05,4.504253895505e+07,4.271562685388e+07,1.009525412972e+06,1.009525412972e+06,2.157539552770e+04
