E_MeV_u,LET_keV_um
0.1,0.087892496
0.101721502,0.087731792
0.10347264,0.087556527
0.105253924,0.087366585
0.107065873,0.087161885
0.108909014,0.086942379
0.110783886,0.086708056
0.112691033,0.086458951
0.114631011,0.086195139
0.116604387,0.085916749
0.118611734,0.085623964
0.120653638,0.085317026
0.122730693,0.084996239
0.124843505,0.084661977
0.126992689,0.0843145
0.129178871,0.08395388
0.131402688,0.083580209
0.133664788,0.083193622
0.13596583,0.082794302
0.138306485,0.082382478
0.140687435,0.081958438
0.143109372,0.081522527
0.145573003,0.081075153
0.148079046,0.080616794
0.15062823,0.080147976
0.153221298,0.079669019
0.155859007,0.079180134
0.158542123,0.078681568
0.161271429,0.078173613
0.164047721,0.077656608
0.166871806,0.077130944
0.169744508,0.076597065
0.172666664,0.076055476
0.175639124,0.075506733
0.178662756,0.074951312
0.181738439,0.074389656
0.184867071,0.073822256
0.188049561,0.073249658
0.191286839,0.072672466
0.194579846,0.072091347
0.197929543,0.071507035
0.201336904,0.070920269
0.204802924,0.07033143
0.208328611,0.069740759
0.211914993,0.069148509
0.215563114,0.06855495
0.219274038,0.067960363
0.223048846,0.067365047
0.226888637,0.066769302
0.23079453,0.066173381
0.234767663,0.065577526
0.238809194,0.064981987
0.2429203,0.06438702
0.247102178,0.063792889
0.251356048,0.063199859
0.255683148,0.062608161
0.260084739,0.062018004
0.264562104,0.061429598
0.269116547,0.060843151
0.273749394,0.060258867
0.278461996,0.059676957
0.283255726,0.05909765
0.28813198,0.058521177
0.293092179,0.057947764
0.298137767,0.057377636
0.303270216,0.056810984
0.308491019,0.056247916
0.313801699,0.055688502
0.319203803,0.055132794
0.324698904,0.054580817
0.330288603,0.05403257
0.335974529,0.053488021
0.341758338,0.052947106
0.347641716,0.052409723
0.353626376,0.051875809
0.359714062,0.051345524
0.365906548,0.050819072
0.372205637,0.050296649
0.378613166,0.049778442
0.385131,0.049264627
0.391761039,0.04875537
0.398505215,0.048250822
0.405365491,0.047751077
0.412343867,0.047256128
0.419442376,0.046765928
0.426663087,0.046280388
0.434008101,0.045799384
0.441479561,0.045322744
0.449079642,0.044850252
0.456810558,0.044381813
0.464674562,0.043917556
0.472673946,0.043457622
0.480811038,0.043002136
0.489088212,0.042551207
0.497507876,0.042104927
0.506072486,0.041663266
0.514784535,0.041225903
0.523646563,0.040792416
0.532661151,0.040362312
0.541830925,0.039935019
0.551158556,0.039509921
0.560646764,0.03908698
0.570298311,0.038666685
0.580116009,0.038249567
0.59010272,0.037836194
0.600261351,0.037427144
0.610594864,0.037022407
0.621106269,0.036621285
0.631798628,0.036222949
0.642675056,0.035826458
0.653738722,0.03543093
0.664992849,0.035036763
0.676440716,0.034645019
0.688085658,0.03425686
0.699931069,0.033873523
0.711980398,0.03349561
0.724237157,0.033122907
0.736704916,0.032755099
0.749387309,0.032391805
0.762288028,0.032032443
0.775410834,0.031676171
0.78875955,0.03132202
0.802338063,0.030969003
0.816150332,0.030617387
0.830200378,0.030268454
0.844492297,0.029923624
0.859030251,0.029583989
0.873818477,0.029249253
0.888861282,0.028918765
0.904163049,0.028591802
0.919728237,0.028267794
0.93556138,0.027946224
0.95166709,0.027626537
0.968050061,0.027308699
0.984715065,0.026993174
1.001666958,0.02668046
1.018910678,0.026370841
1.036451248,0.026064385
1.05429378,0.025761145
1.072443472,0.025461155
1.090905611,0.025164435
1.109685576,0.024870985
1.128788839,0.024580786
1.148220965,0.024293796
1.167987615,0.024009948
1.188094549,0.023729149
1.208547624,0.023451279
1.229352799,0.023176181
1.250516136,0.022903675
1.2720438,0.022633688
1.293942063,0.022366284
1.316217305,0.022101522
1.338876016,0.021839451
1.361924798,0.021580109
1.385370365,0.021323518
1.409219547,0.021069687
1.433479294,0.020818609
1.458156673,0.020570258
1.483258874,0.020324588
1.50879321,0.020081543
1.534767119,0.019841118
1.561188171,0.019603328
1.588064061,0.019368174
1.61540262,0.019135637
1.643211813,0.018905685
1.671499743,0.018678262
1.700274649,0.018453294
1.729544916,0.01823068
1.759319072,0.018010307
1.78960579,0.01779214
1.820413895,0.017576175
1.851752362,0.017362391
1.883630322,0.017150756
1.916057061,0.016941217
1.949042027,0.016733703
1.982594831,0.01652812
2.016725246,0.016324392
2.051443218,0.016122596
2.08675886,0.015922862
2.122682462,0.015725319
2.159224489,0.015530096
2.196395588,0.015337323
2.234206589,0.015147127
2.272668507,0.014959595
2.311792547,0.014774649
2.351590109,0.014592156
2.392072787,0.014411954
2.433252375,0.014233851
2.475140871,0.01405762
2.517750478,0.013883039
2.56109361,0.013710095
2.605182895,0.013538849
2.650031179,0.013369361
2.695651526,0.013201685
2.742057229,0.013035868
2.789261808,0.012871936
2.837279014,0.012709873
2.886122837,0.01254965
2.935807508,0.012391222
2.986347502,0.012234528
3.037757543,0.012079525
3.090052609,0.011926235
3.143247936,0.011774685
3.197359021,0.01162489
3.25240163,0.011476861
3.308391799,0.011330598
3.36534584,0.011186087
3.423280346,0.011043307
3.482212196,0.010902222
3.542158559,0.010762798
3.6031369,0.010625036
3.665164985,0.01048893
3.728260884,0.010354465
3.792442981,0.010221615
3.857729974,0.010090341
3.924140885,0.009960591
3.99169506,0.009832299
4.060412183,0.009705424
4.130312272,0.009579985
4.201415692,0.009455998
4.27374316,0.009333472
4.347315747,0.009212407
4.422154888,0.009092797
4.498282386,0.008974626
4.57572042,0.008857878
4.654491553,0.008742542
4.734618732,0.008628599
4.816125302,0.00851602
4.89903501,0.008404762
4.98337201,0.008294773
5.069160874,0.00818602
5.156426595,0.008078525
5.245194598,0.007972314
5.335490743,0.007867405
5.427341339,0.007763814
5.520773145,0.007661546
5.615813382,0.007560589
5.712489738,0.007460913
5.81083038,0.007362479
5.910863959,0.007265233
6.012619618,0.007169116
6.116127003,0.007074116
6.22141627,0.006980268
6.328518094,0.006887602
6.437463679,0.006796148
6.548284764,0.006705919
6.661013637,0.006616874
6.77568314,0.006528937
6.892326681,0.006442021
7.010978243,0.006356028
7.131672395,0.006270951
7.254444299,0.006186874
7.379329725,0.006103887
7.506365056,0.006022079
7.635587303,0.005941466
7.767034114,0.005861985
7.900743785,0.005783552
8.036755271,0.005706082
8.175108198,0.005629559
8.315842873,0.005554011
8.459000299,0.005479461
8.604622184,0.005405906
8.752750953,0.005333274
8.903429762,0.005261474
9.05670251,0.005190418
9.212613852,0.005120165
9.371209211,0.005050836
9.532534794,0.004982553
9.696637599,0.004915307
9.863565439,0.004848994
10.03336694,0.004783498
10.20609159,0.004718779
10.38178969,0.004654853
10.56051244,0.004591734
10.7423119,0.004529433
10.92724105,0.004467956
11.11535375,0.004407307
11.30670482,0.004347485
11.50135001,0.004288483
11.69934601,0.00423029
11.90075052,0.004172889
12.10562222,0.004116256
12.31402078,0.004060362
12.52600693,0.004005169
12.74164243,0.003950666
12.9609901,0.003896861
13.18411384,0.003843759
13.41107866,0.003791363
13.64195069,0.003739672
13.87679719,0.003688679
14.11568657,0.003638375
14.35868844,0.003588744
14.60587359,0.003539766
14.85731404,0.003491414
15.11308304,0.003443661
15.37325511,0.003396509
15.63790605,0.003349968
15.90711297,0.003304045
16.18095428,0.003258746
16.45950978,0.003214072
16.74286062,0.003170022
17.03108935,0.003126592
17.32427995,0.003083771
17.62251783,0.003041549
17.92588988,0.00299992
18.23448448,0.002958878
18.54839155,0.002918416
18.86770254,0.002878519
19.19251047,0.002839169
19.52290998,0.002800345
